3281,2160,3
5569,476,3
519,6102,3
1238,5899,3
4153,4457,2
6586,172,1
942,4761,0
6224,1930,3
4845,5385,2
4192,5604,3
4342,4824,1
4444,1451,1
5426,3669,3
1073,4097,3
503,2228,2
5207,2475,3
128,1999,3
943,5983,3
3753,5771,3
2188,871,3
998,4334,1
5782,1323,3
199,1701,3
6256,4211,3
1986,2966,2
555,3527,1
5318,2125,3
5737,1098,1
5426,6305,3
5629,4997,3
4433,2223,3
3492,774,3
42,2745,2
2981,2471,3
1120,5602,4
4236,6102,3
342,1228,3
5426,5371,3
5426,583,3
6366,4536,3
2039,3600,1
4444,613,2
5426,379,2
4375,1887,2
5426,4020,3
2549,6626,1
5789,5385,1
3390,5603,3
5629,140,3
6231,6362,3
3205,4536,3
5426,5291,3
5266,2977,2
2481,4323,3
5636,2178,4
578,5170,3
901,3035,3
1106,2411,1
138,1424,1
5333,5757,3
4056,798,1
3265,476,4
3980,1204,3
255,2723,3
2775,5771,3
11,390,3
2693,1865,3
6366,5353,1
2897,3035,3
2752,2977,2
4444,1918,1
3828,6373,2
1664,4705,3
6371,6167,2
2790,5292,3
2781,578,3
3281,1964,3
4912,6635,3
4646,56,3
5629,4552,3
1761,3421,1
1503,1051,3
513,950,1
5074,788,0
5842,3923,3
6235,2042,4
5426,6259,3
5426,5852,3
6255,5031,3
3032,4802,3
1572,5771,3
2162,1139,2
2278,6272,3
6467,142,4
6462,2871,3
6344,3526,3
5908,1349,1
820,4971,1
2558,2417,3
5965,795,1
5245,491,3
2981,5603,3
6160,3966,1
5426,566,3
887,6419,3
5426,2182,3
3029,1204,3
5296,2431,3
993,4203,1
6256,300,3
1986,3308,2
5426,2625,3
6471,481,1
3764,2979,3
1219,3350,1
5992,6167,2
2124,5604,3
5927,3880,3
1326,4455,3
499,5643,2
2265,5819,1
5897,1506,3
3119,5201,3
6586,298,1
1037,4136,3
5426,1126,3
5074,126,3
1692,2260,3
6366,169,3
6128,3359,1
6366,2747,3
839,3036,4
5231,950,3
5120,2980,3
1579,5771,3
3594,2478,1
1692,5133,3
5637,1451,3
5074,4418,0
483,1649,1
128,251,3
5908,481,1
5046,4062,3
578,1723,0
6366,2712,3
5135,562,3
1963,5067,3
5629,991,3
2981,1601,3
906,829,3
523,5009,3
2981,4455,3
3779,4536,1
3594,1918,3
4433,1441,3
6587,872,3
2981,5843,3
4056,5445,1
1886,110,3
5684,3634,3
2273,4717,3
2039,418,3
4573,2098,2
2882,251,3
2508,6623,1
3938,4062,3
3859,3781,4
3594,2100,1
5840,4042,3
2433,2160,1
4444,4457,1
3579,5320,2
3674,578,3
2827,3132,2
2967,4591,3
138,5764,3
5820,5165,3
1503,6334,3
1692,2545,3
801,5856,3
4444,857,1
1579,5901,3
1606,606,3
3041,491,3
2968,5385,2
5636,5353,0
5074,5300,3
767,3035,1
6261,5265,3
2596,3808,3
3281,3578,3
2273,3960,2
1874,5754,3
6366,5969,3
2391,3608,3
700,2411,0
496,1584,3
993,2665,1
2981,3663,3
499,5658,3
2703,4078,3
3281,6362,3
128,4190,3
1423,2084,3
5426,3592,3
235,950,3
1503,4145,3
4181,474,1
2768,5603,3
138,5185,3
555,678,1
6477,722,3
499,2503,3
920,2977,2
4241,5385,2
828,2163,3
5571,1827,3
5426,1094,3
700,813,0
5426,6003,3
2565,6102,3
3240,2966,3
2017,5633,2
2981,724,3
6242,6635,3
271,1323,3
2761,1153,3
4646,343,3
503,2226,2
801,4824,3
5636,4145,0
5947,1821,3
1692,4200,3
6366,3576,3
4754,3445,3
1503,979,3
6160,5385,2
5510,6488,3
1330,2513,4
6695,6282,1
6520,2710,3
3,3806,3
5425,2296,3
3588,2019,3
2381,6362,1
2471,6416,3
1579,2019,3
1087,2977,2
3202,5005,3
1940,3808,2
5426,1643,3
2743,4124,3
503,5881,3
4772,2915,3
4828,5819,3
536,1451,1
1936,6102,3
503,3813,2
1503,48,3
3565,872,3
5426,2462,3
6240,251,3
5046,2311,3
2232,2871,3
138,1534,0
5259,5771,1
2981,6635,3
3323,5909,3
1986,5452,2
578,5278,3
2981,4136,3
6617,1271,3
3910,5078,3
6371,4099,3
2191,3951,2
5243,5292,3
5578,1881,2
2981,4536,3
3891,4138,3
529,3835,3
3746,2806,3
138,1063,3
887,2557,3
1986,774,2
3326,6421,1
499,2490,3
3910,950,3
2131,5771,3
5426,2501,3
1752,1435,3
5426,1553,3
3549,5984,2
2050,4708,1
6577,4478,1
1864,5635,2
3305,2449,1
887,1541,3
2981,5984,3
5177,5994,3
5074,3035,3
4395,6402,3
3559,5005,3
3859,5873,4
520,268,2
4883,1826,3
3064,2366,1
1632,5412,1
852,2834,1
3073,3781,2
3784,1853,2
6366,3692,1
3737,6058,3
5426,4914,3
4537,57,3
2290,4228,3
3906,4108,3
72,5771,3
5593,2848,4
2707,4145,1
2659,2403,4
3315,950,3
1503,3663,3
5486,6559,2
1503,6362,3
3390,5603,3
887,5799,3
423,4824,3
6617,5603,1
166,2160,3
6376,3663,3
187,4728,3
896,2906,3
1891,2160,3
2487,6623,1
6160,5513,1
503,6401,2
1986,2966,2
583,2125,1
173,3421,1
1390,5771,2
776,5633,2
94,1156,3
5426,704,3
700,379,0
1066,5300,3
1503,6206,3
3499,3352,1
2622,146,3
3047,2705,3
4537,2438,3
5255,4334,1
4470,1451,3
1598,1084,3
6366,791,0
2003,547,3
78,6155,3
4537,3808,3
4464,3910,3
724,4536,3
2981,2449,3
6366,604,3
5426,2746,2
2605,5771,3
5390,1634,3
3574,924,3
2255,6329,3
5125,793,2
1941,4126,3
5569,438,2
499,420,3
6256,5554,3
5175,1952,3
3910,5202,3
6160,2075,1
5150,2723,3
4444,1305,1
4139,481,1
4319,5278,2
78,6337,3
2481,1674,3
259,5771,3
5074,1723,0
1322,1038,4
4559,5472,3
6278,4083,3
3305,1580,3
4916,6211,3
4724,3769,3
6366,4604,3
3554,2123,2
503,6025,2
1730,5131,3
199,4334,1
3048,5800,3
5426,5528,3
845,950,3
3047,1584,3
101,2977,2
1579,556,4
3066,5071,3
26,4057,3
1035,1110,3
4298,5771,3
1000,1826,3
1207,1993,3
2081,2977,2
2290,4763,3
503,316,2
5996,791,3
6073,2347,3
2007,5592,3
6515,5641,3
5613,790,4
3499,1450,1
1202,407,3
6573,6498,3
5360,5140,3
5426,6002,3
5426,1991,3
4643,1826,3
1288,4203,3
5769,5771,3
5636,2125,0
4100,3457,1
4430,6102,3
4046,3663,3
4462,2160,3
3859,3269,3
2233,3585,3
3594,4824,3
1497,872,3
2629,1317,3
3207,4476,3
4470,1447,3
4484,2811,3
399,4145,3
4518,798,1
4444,5913,2
3305,2326,3
934,2744,3
5782,4108,3
5024,88,3
3047,5815,3
6673,2442,2
6299,5767,1
6160,2710,1
1503,547,3
5836,2507,1
3013,3350,1
6325,4999,1
6371,3824,3
4712,2811,3
1692,1305,3
6255,1541,3
4248,86,3
499,1536,3
210,4306,3
5992,1016,2
5426,599,3
6366,3263,1
700,2545,0
5541,468,2
138,3289,1
3588,491,3
6376,5067,3
4344,2296,3
4448,1451,1
2430,5771,3
6366,1737,3
5425,5807,3
6132,5603,3
6366,5599,3
3202,3919,4
6385,4400,0
5093,3676,3
1274,1737,4
2152,3294,1
5152,2684,1
5996,6102,3
5426,4268,3
4236,4274,3
1010,4108,3
1751,2710,1
2285,3976,3
63,2956,2
241,4164,3
6536,1768,4
5426,6078,3
124,4136,3
2855,1070,1
6012,147,3
18,1994,3
700,6003,0
4927,6172,3
123,249,3
6587,3634,3
6323,4476,1
887,3075,3
4045,3035,1
2145,5071,3
1485,3599,3
2380,4320,2
5876,476,3
5272,2545,1
2562,2078,1
1779,1357,3
5004,3372,4
6629,454,1
5046,2478,1
5996,3263,1
503,2918,2
2706,2621,1
4433,3507,3
5545,6258,2
1895,1156,1
5295,465,1
423,2583,3
399,1271,3
5176,476,1
65,3827,3
5253,5604,3
648,3631,3
138,3075,3
3385,3184,3
1579,6018,1
327,379,4
2907,5223,3
700,1290,0
1111,5724,1
4640,3292,3
5622,6438,3
5543,5767,3
4424,3518,4
4241,5385,2
2290,4415,3
1798,6256,3
2487,6285,1
5046,5697,1
3093,2673,1
3650,4334,1
4399,3133,1
2152,5960,1
4276,5603,3
555,4937,1
5426,1290,3
1233,406,3
1503,5067,3
1692,1564,3
2273,4083,2
6366,6623,1
578,3310,3
5074,3829,0
1503,3529,3
5376,1271,3
2981,4535,3
2052,705,3
700,1918,3
3910,724,3
499,2528,3
2903,3724,3
4371,950,3
5426,6651,3
3159,1918,3
2010,5604,3
1503,1199,3
2596,1517,3
3991,5450,3
1760,4802,3
555,6378,1
1111,3421,2
3707,6102,3
327,5983,1
4227,2877,3
597,403,2
5166,4625,3
4180,6050,1
3459,6602,2
3499,5627,1
5426,3671,3
1306,6003,3
6366,1197,3
3512,1290,3
5208,6498,3
6366,569,3
2901,1739,1
503,6117,2
499,3829,3
2596,587,3
1013,2977,2
5730,2621,1
2993,3439,3
993,57,3
1423,1827,3
2685,5984,3
5109,1188,3
2495,4605,1
6477,1279,3
3624,5044,1
5892,2673,1
1442,3019,4
2721,2144,3
5426,3481,3
3502,5101,3
5426,5054,3
6020,64,3
724,2215,3
1579,48,3
595,3444,3
2903,5278,3
2649,2744,3
490,3289,3
1503,6081,3
6366,334,3
3651,2755,3
2273,1451,3
993,6097,4
499,2160,3
700,1735,0
6160,5604,3
3532,6362,2
503,672,2
2017,5238,3
5426,6419,3
4464,5775,3
4517,4591,3
5426,720,3
3843,5058,3
5857,5771,1
503,4824,2
94,3504,3
6384,3504,3
4444,5764,1
4778,984,3
887,4872,3
503,3026,3
1142,1204,3
3594,1539,4
318,1601,3
424,6102,3
3549,5058,3
2089,3141,1
2993,3994,3
6387,4588,2
2560,5385,3
4880,5005,3
1213,6075,3
68,862,2
4444,1634,1
3964,3841,3
150,2571,2
5018,5071,3
5426,5785,3
3689,5589,2
423,4207,3
898,4457,2
228,4575,3
4815,1433,3
5426,977,3
3050,6419,3
3633,3098,1
5426,3447,3
2721,5930,3
3049,3193,3
5046,4062,2
3129,3253,3
2152,3976,2
1986,876,2
5087,2947,1
5949,4189,3
6001,6102,3
1398,4138,1
6674,5771,3
1503,3433,3
3506,4669,2
3470,1873,1
4980,2163,3
2981,862,3
5536,5901,3
3579,5658,2
3281,5984,3
325,2724,3
236,1451,3
4139,5743,3
700,5241,0
499,6334,3
2596,5238,3
1355,243,3
3603,872,2
