gfha-jan,T6,T
BUta-BAv,T6,T
yAtrA-arT,T4,T
aSva-sut,T6,T
viSudDa-Atm,Bs6,B
katipaya-divas,K1,K
maDye-pravAh,A7,A
BikzA-awan,T4,T
taTA-viD,Bs5,B
patra-kAr,U,T
kUzmARqa-Pal,K7,K
mahat-rAj,K1,K
na-sakft,Tn,T
Darmma-SAstr,T6,T
sa-SaMk,BvS,B
yAdava-pramuK,T7,T
jala-niD,T6,T
maDya-rAtr,T1,T
gfdDa-rUp,T6,T
tattva-vit,U,T
tulasI-dev,K7,K
prastara-paww,T6,T
agni-praveS,T7,T
Atman-vizay,T6,T
nir-AS,Bs5,B
parama-suKin,K1,K
DUmapAna-guR,T6,T
kfzRa-varRI,K1,K
na-AyAs,Tn,T
pra-rudant,Tp,T
pari-rakz,Tp,T
kAyA-agn,T6,T
Davala-aNg,Bs6,B
sva-svAmin,T6,T
arTa-kAm,Di,D
Bojana-arT,T4,T
liyU-parivAr,T6,T
na-icC,Tn,T
na-sat,Tn,T
tat-gat,T2,T
vfdDa-sAD,K1,K
mahat-bAh,Bs6,B
na-pUrv,Bsmn,B
sTita-prajY,Bs6,B
na-svasT,Tn,T
hima-SuB,K5,K
nAnA-viD,K1,K
sAyam-kAl,T1,T
pra-sahy,Tg,T
pIWa-dvAr,T6,T
jihvAmUla-gat,T2,T
na-jAn,Tn,T
Sabda-Ad,Bs6,B
manuzya-ganD,T6,T
anu-car,S,D
sam-utsuk,Tp,T
sampAti-vacan,T6,T
divya-Sakt,K1,K
ati-prasann,K1,K
apara-rAjy,T6,T
mAnasika-sTit,K1,K
avaSyam-BAv,S,D
Palaka-up,T6,T
pAka-kal,T6,T
dAna-rUp,T6,T
karuRA-pUrR,T3,T
kfpaRa-kAraR,T6,T
tat-kzaR,K1,K
asmad-vacan,T6,T
Srotf-Ad,Bs6,B
mahat-BUt,K1,K
jIrRa-tan,Bs6,B
vastra-kzAlan,T6,T
tad-parAyaR,Bs6,B
keSa-jAl,T6,T
Agamana-sam,T6,T
gfha-vAwik,T6,T
kOpIna-mitr,T6,T
puzpa-mAl,T6,T
pra-yatn,Tp,T
Seza-jIvan,K1,K
rAjan-sev,Tn,T
SUnya-gfh,K1,K
prati-ah,A1,A
bOdDa-maW,T6,T
kargada-leKan,Di,D
na-upalakzit,Tn,T
na-sambadD,Tn,T
deha-aDikaraR,T6,T
naraka-gaman,T7,T
bali-rUp,T6,T
Agraha-pUrvak,Bs7,B
sADanA-praBAv,T6,T
dviDA-kft,S,D
parigraha-rahit,T3,T
Ayata-vftta-Bog,Bb,B
Pala-sidD,T6,T
navan-vyUh,Km,K
paYcadaSa-varzI,K1,K
ASrama-vAsin,T6,T
